Date,Open,High,Low,Close,Adj Close,Volume
2022-01-02,444.422424,451.707336,443.317383,447.832642,447.832642,5266233006
2022-01-03,447.817780,447.817780,432.527802,434.943848,434.943848,5175856851
2022-01-04,434.979279,438.985931,427.229980,427.524323,427.524323,5170910046
2022-01-05,427.531342,432.091095,394.798248,401.572510,401.572510,5222363057
2022-01-06,401.528931,401.989044,389.133057,400.639252,400.639252,4606482593
2022-01-07,400.596405,400.722931,378.257874,386.058319,386.058319,5495287581
2022-01-08,386.054779,390.988892,365.276459,374.257965,374.257965,4940762099
2022-01-09,374.261353,380.777954,369.947296,377.102844,377.102844,4998528088
2022-01-10,377.110443,378.141418,350.509796,364.069214,364.069214,5091316579
2022-01-11,364.064697,374.386169,362.890778,369.830750,369.830750,4883845879
2022-01-12,369.857758,385.315125,368.943237,383.913635,383.913635,4878392863
2022-01-13,383.908844,391.266571,377.585052,377.585052,377.585052,4820513787
2022-01-14,377.608093,392.740845,377.005188,386.172760,386.172760,4865794221
2022-01-15,386.189880,392.848816,384.407013,391.154083,391.154083,4761528715
2022-01-16,391.143616,393.011200,384.295013,388.711609,388.711609,4738253300
2022-01-17,388.723999,389.284088,374.035309,381.103821,381.103821,4688459028
2022-01-18,381.085480,394.539276,376.299805,382.047028,382.047028,4921110719
2022-01-19,382.057556,384.137085,367.438934,370.581177,370.581177,4722885424
2022-01-20,370.503204,383.706726,358.033936,358.108337,358.108337,4652760962
2022-01-21,358.221405,359.882751,311.099548,315.208649,315.208649,4998844753
2022-01-22,315.290100,318.033997,271.456879,291.441498,291.441498,5502585985
2022-01-23,291.515320,302.604156,285.642487,301.807953,301.807953,5029208794
2022-01-24,301.855377,302.081787,262.501678,292.229126,292.229126,5138719653
2022-01-25,292.208984,294.092743,285.405396,292.233826,292.233826,4865661412
2022-01-26,292.197296,312.758057,286.219482,289.951355,289.951355,4789506698
2022-01-27,289.856720,293.708679,279.467407,289.510284,289.510284,4450566226
2022-01-28,289.467102,296.801392,282.971649,296.796112,296.796112,4402414050
2022-01-29,296.794006,301.158051,292.787598,298.871399,298.871399,4549035847
2022-01-30,298.923065,301.179230,288.591431,290.500732,290.500732,4393440670
2022-01-31,290.509033,290.514160,279.070984,285.539276,285.539276,4272814799
2022-02-01,285.513885,290.812073,283.486053,288.148438,288.148438,4243564723
2022-02-02,288.163055,296.186218,278.216644,278.590363,278.590363,4304273528
2022-02-03,278.534180,279.975922,271.923309,279.975922,279.975922,4185575167
2022-02-04,279.951385,306.165100,277.071625,305.983124,305.983124,4426537277
2022-02-05,306.005371,327.288605,303.477722,320.878540,320.878540,4737535933
2022-02-06,320.839508,327.673523,315.551636,325.009369,325.009369,4528068784
2022-02-07,325.007324,343.305237,319.207672,342.796906,342.796906,4714385327
2022-02-08,342.868286,355.264221,326.707092,336.254028,336.254028,4364847778
2022-02-09,336.090912,347.287720,329.992859,345.833649,345.833649,4141759132
2022-02-10,345.853790,361.358704,337.941223,341.832031,341.832031,4400654964
2022-02-11,341.808380,341.808380,318.654175,320.552704,320.552704,4306158732
2022-02-12,320.558289,329.495941,314.336945,329.236877,329.236877,4371772668
2022-02-13,329.229034,339.297852,325.988983,334.871490,334.871490,4651844844
2022-02-14,334.707886,336.772949,319.778717,331.334412,331.334412,4680229530
2022-02-15,331.302948,344.244324,329.668671,343.130920,343.130920,4570027807
2022-02-16,343.134613,343.231293,330.247925,335.361603,335.361603,4573029120
2022-02-17,335.245514,336.132782,310.810181,312.816193,312.816193,4504176872
2022-02-18,312.895874,318.594391,307.973969,310.977936,310.977936,4360014643
2022-02-19,310.959167,315.844604,306.627075,312.023926,312.023926,4031413655
2022-02-20,312.025146,312.176605,298.140076,303.135620,303.135620,3986038360
2022-02-21,303.114563,309.893585,284.142365,284.345673,284.345673,4150595974
2022-02-22,284.299805,294.452362,278.599213,293.675354,293.675354,4210903986
2022-02-23,293.671570,304.377136,288.729828,289.308350,289.308350,4235446247
2022-02-24,289.247253,308.029266,261.343109,300.810516,300.810516,4611840938
2022-02-25,300.815948,311.161713,291.639252,308.459045,308.459045,4214133332
2022-02-26,308.454041,322.142944,308.366943,314.530853,314.530853,4208615883
2022-02-27,314.509857,320.588470,301.487122,304.103607,304.103607,4162542039
2022-02-28,304.102844,337.122009,301.500305,337.122009,337.122009,4333237969
2022-03-01,337.147339,342.296814,322.312958,328.231384,328.231384,4406526635
2022-03-02,328.241882,330.659088,318.857452,320.405151,320.405151,4160551460
2022-03-03,320.406403,321.241913,307.006195,315.126312,315.126312,3961075276
2022-03-04,315.176056,315.176056,287.507446,289.917450,289.917450,3826939389
2022-03-05,290.003998,294.956696,285.640320,293.979858,293.979858,3571444342
2022-03-06,294.016083,295.853241,283.082794,283.082794,283.082794,3599409412
2022-03-07,283.103668,290.431885,272.117828,274.935089,274.935089,3644280854
2022-03-08,274.906799,288.906738,273.893799,284.369629,284.369629,3565673322
2022-03-09,284.401611,316.099304,284.381531,308.348907,308.348907,3604288416
2022-03-10,308.271851,308.750092,285.638702,289.868347,289.868347,3301827584
2022-03-11,289.903564,293.631012,282.269135,288.197296,288.197296,3384249280
2022-03-12,288.199188,293.796448,288.035370,291.201599,291.201599,3163131831
2022-03-13,291.112915,295.271576,280.037079,280.412231,280.412231,3102894940
2022-03-14,280.393890,289.546478,278.724579,289.546478,289.546478,3391951619
2022-03-15,289.527588,292.133026,282.523438,289.695526,289.695526,3416509695
2022-03-16,289.685913,300.991364,287.838928,299.721771,299.721771,3493261441
2022-03-17,299.714996,300.357239,294.953857,296.458740,296.458740,3089185447
2022-03-18,296.434692,306.264587,291.439209,305.863892,305.863892,3141982108
2022-03-19,305.827667,327.620087,305.667145,327.620087,327.620087,3336760438
2022-03-20,327.637634,331.248322,317.392334,326.963348,326.963348,3504099063
2022-03-21,326.939575,339.669342,321.462463,335.231598,335.231598,3775570531
2022-03-22,335.196838,384.022186,334.724152,376.736816,376.736816,4592700939
2022-03-23,376.737854,382.511322,355.138641,364.305481,364.305481,3753713812
2022-03-24,364.206818,366.944244,352.902527,366.106293,366.106293,4086604251
2022-03-25,366.119873,372.995972,354.194641,364.740173,364.740173,4801830925
2022-03-26,364.737427,365.928619,358.011566,361.893463,361.893463,4447203979
2022-03-27,361.912964,376.545380,356.144012,376.537445,376.537445,4528242763
2022-03-28,376.537292,384.641632,367.882141,368.139282,368.139282,4895152714
2022-03-29,368.002167,382.993683,368.002167,373.529968,373.529968,4628947859
2022-03-30,373.496613,385.494873,364.674072,379.637817,379.637817,4659262272
2022-03-31,379.618286,389.414246,364.435791,384.044342,384.044342,5207447297
2022-04-01,384.133057,388.408264,365.193237,376.888977,376.888977,5038480562
2022-04-02,376.918396,382.111847,372.208069,373.293427,373.293427,4929841413
2022-04-03,373.200592,380.692505,369.972839,378.777954,378.777954,4788326043
2022-04-04,378.732117,379.059052,364.433807,375.817719,375.817719,4842131038
2022-04-05,375.876007,380.664825,365.984802,365.984802,365.984802,4831755832
2022-04-06,366.118134,366.581207,331.067932,331.067932,331.067932,4693817841
2022-04-07,331.139130,339.696716,328.953796,336.774506,336.774506,4313693588
2022-04-08,336.739410,337.969574,322.456451,323.342896,323.342896,4279423040
2022-04-09,323.451508,327.161285,323.037659,326.078491,326.078491,4086027568
2022-04-10,326.073486,331.984650,320.940277,320.940277,320.940277,4161265791
2022-04-11,320.968140,320.968140,292.248291,294.762970,294.762970,4116764653
2022-04-12,294.842590,306.867340,294.300720,304.586273,304.586273,3232224320
2022-04-13,304.578552,347.151733,302.091919,341.976013,341.976013,4640086854
2022-04-14,341.919464,352.001770,333.379272,337.560822,337.560822,4518928223
2022-04-15,337.547760,344.157623,334.482910,340.612915,340.612915,4255742550
2022-04-16,340.618622,346.595459,340.187622,343.198151,343.198151,4186735944
2022-04-17,343.159027,348.171173,328.296356,328.703308,328.703308,4209933062
2022-04-18,328.715424,340.138733,314.017151,340.019135,340.019135,4178084902
2022-04-19,340.016907,342.074280,333.730316,340.395203,340.395203,4216376808
2022-04-20,340.367065,344.381195,329.889648,330.724213,330.724213,4290468661
2022-04-21,330.744507,344.465454,314.176056,315.880707,315.880707,4253223441
2022-04-22,315.920685,333.268921,315.137421,320.967468,320.967468,4230621505
2022-04-23,320.956757,322.356354,313.447144,313.447144,313.447144,3981089499
2022-04-24,313.437500,314.451691,308.122925,308.138397,308.138397,3915756766
2022-04-25,308.161346,315.276215,301.044159,314.774475,314.774475,4339854924
2022-04-26,314.718018,321.273621,293.759033,295.910400,295.910400,4623962165
2022-04-27,295.927063,308.773132,294.973206,307.333801,307.333801,4530909054
2022-04-28,307.303284,311.859894,303.902954,306.734406,306.734406,4529814365
2022-04-29,306.736450,308.489716,292.501709,294.709229,294.709229,4493805037
2022-04-30,294.682098,297.397858,273.403046,278.668884,278.668884,4327964629
2022-05-01,278.587616,287.123779,275.184662,284.411987,284.411987,4136305101
2022-05-02,284.389374,288.774109,280.503296,285.090942,285.090942,4223541712
2022-05-03,285.105560,288.957825,277.098572,279.482819,279.482819,4189270453
2022-05-04,279.476166,299.856140,279.027710,299.856140,299.856140,4249843095
2022-05-05,299.773834,302.240601,273.902771,277.293304,277.293304,4043872451
2022-05-06,277.272675,277.509613,267.247406,274.981537,274.981537,4076255396
2022-05-07,274.958160,277.139526,265.421875,268.711639,268.711639,3969336859
2022-05-08,268.690216,269.180054,260.559235,261.769806,261.769806,3914963030
2022-05-09,261.779877,265.973633,221.998428,221.998428,221.998428,3936060796
